车辆ID,车牌号,制造商,购买日期,车辆类型,总公里数,油耗/公里,基本维护费,养路费,总费用,附加信息\nV003,京C30001,解放,2019-07-10,卡车,150000.00,0.40,1500.00,2000.00,3503.20,载重量: 10.0吨
V006,京C30002,东风,2020-02-18,卡车,135000.00,0.38,1500.00,2000.00,3503.04,载重量: 8.0吨
V009,京C30003,陕汽,2020-11-08,卡车,110000.00,0.42,1500.00,2000.00,3503.36,载重量: 12.0吨
V012,京C30004,重汽,2019-09-25,卡车,160000.00,0.45,1500.00,2000.00,3503.60,载重量: 15.0吨
V015,京C30005,江淮,2020-06-01,卡车,125000.00,0.41,1500.00,2000.00,3503.28,载重量: 9.0吨
V018,京C30006,江铃,2020-08-14,卡车,118000.00,0.39,1500.00,2000.00,3503.12,载重量: 7.0吨
V021,京C30007,五菱,2019-10-12,卡车,145000.00,0.43,1500.00,2000.00,3503.44,载重量: 6.0吨
V024,京C30008,庆铃,2020-01-08,卡车,130000.00,0.40,1500.00,2000.00,3503.20,载重量: 11.0吨
V027,京C30009,跃进,2020-12-05,卡车,108000.00,0.38,1500.00,2000.00,3503.04,载重量: 8.5吨
V030,京C30010,大运,2019-11-20,卡车,155000.00,0.44,1500.00,2000.00,3503.52,载重量: 13.0吨
V033,京C30011,福田戴姆勒,2020-07-18,卡车,122000.00,0.40,1500.00,2000.00,3503.20,载重量: 10.5吨
V036,京C30012,北奔重汽,2020-05-14,卡车,115000.00,0.39,1500.00,2000.00,3503.12,载重量: 9.5吨
V039,京C30013,三一重工,2019-12-25,卡车,142000.00,0.42,1500.00,2000.00,3503.36,载重量: 14.0吨
V042,京C30014,红岩,2020-03-05,卡车,128000.00,0.41,1500.00,2000.00,3503.28,载重量: 11.5吨
V045,京C30015,欧曼,2020-10-20,卡车,112000.00,0.39,1500.00,2000.00,3503.12,载重量: 8.8吨
V048,京C30016,陕汽商用车,2020-01-25,卡车,138000.00,0.43,1500.00,2000.00,3503.44,载重量: 12.5吨
